Type,Theme,File,Name,Color,Legend,Labels,Unit,Visible,Status,Provenance,Description,Notes
theme,Current patterns of biodiversity,yale_1/BEC_zones/BEC Zone SWB.tif,BEC zone: Spruce -- Willow -- Birch,"#ffffff, #a4fe8c",continuous,,km2*,FALSE,TRUE,missing,"<p><img src='https://dl.dropboxusercontent.com/s/09f92h2a4n42ug0/BEC%20Zone%20SWB.webp?dl=0'/></p><p>The Biogeoclimatic Ecosystem Classification (BEC) system adopted in BC as a method to classify and manage sites on an ecosystem-specific basis that combine the nature, soil, geology and climatic factor in the classification. In BEC, ecosystems are described in terms of potential plant community or what the species composition might look like at maturity.</p><p><em>Reference:</em></p><p>Ministry of Forests, Lands, Natural Resource Operations and Rural Development, BC, Canada,  2020, data from the British Columbia Data Catalogue (https://catalogue.data.gov.bc.ca/)</p>",
theme,Current patterns of biodiversity,yale_1/BEC_zones/BEC Zone MH.tif,BEC zone: Mountain Hemlock,"#ffffff, #9b96f9",continuous,,km2*,FALSE,TRUE,missing,"<p><img src='https://dl.dropboxusercontent.com/s/mqb6274an4d6nhz/BEC%20Zone%20MH.webp?dl=0'/></p><p>The Biogeoclimatic Ecosystem Classification (BEC) system adopted in BC as a method to classify and manage sites on an ecosystem-specific basis that combine the nature, soil, geology and climatic factor in the classification. In BEC, ecosystems are described in terms of potential plant community or what the species composition might look like at maturity.</p><p><em>Reference:</em></p><p>Ministry of Forests, Lands, Natural Resource Operations and Rural Development, BC, Canada,  2020, data from the British Columbia Data Catalogue (https://catalogue.data.gov.bc.ca/)</p>",
theme,Current patterns of biodiversity,yale_1/BEC_zones/BEC Zone CDF.tif,BEC zone: Coastal Douglas-fir,"#ffffff, #effd21",continuous,,km2*,FALSE,TRUE,missing,"<p><img src='https://dl.dropboxusercontent.com/s/sxvly88zy7718f6/BEC%20Zone%20CDF.webp?dl=0'/></p><p>The Biogeoclimatic Ecosystem Classification (BEC) system adopted in BC as a method to classify and manage sites on an ecosystem-specific basis that combine the nature, soil, geology and climatic factor in the classification. In BEC, ecosystems are described in terms of potential plant community or what the species composition might look like at maturity.</p><p><em>Reference:</em></p><p>Ministry of Forests, Lands, Natural Resource Operations and Rural Development, BC, Canada,  2020, data from the British Columbia Data Catalogue (https://catalogue.data.gov.bc.ca/)</p>",
theme,Current patterns of biodiversity,yale_1/BEC_zones/BEC Zone SBPS.tif,BEC zone: Sub-Boreal Pine -- Spruce,"#ffffff, #84ffdb",continuous,,km2*,FALSE,TRUE,missing,"<p><img src='https://dl.dropboxusercontent.com/s/kpvx1ls4nrruddo/BEC%20Zone%20SBPS.webp?dl=0'/></p><p>The Biogeoclimatic Ecosystem Classification (BEC) system adopted in BC as a method to classify and manage sites on an ecosystem-specific basis that combine the nature, soil, geology and climatic factor in the classification. In BEC, ecosystems are described in terms of potential plant community or what the species composition might look like at maturity.</p><p><em>Reference:</em></p><p>Ministry of Forests, Lands, Natural Resource Operations and Rural Development, BC, Canada,  2020, data from the British Columbia Data Catalogue (https://catalogue.data.gov.bc.ca/)</p>",
theme,Current patterns of biodiversity,yale_1/BEC_zones/BEC Zone CMA.tif,BEC zone: Coastal Mountain-heather Alpine,"#ffffff, #edc1db",continuous,,km2*,FALSE,TRUE,missing,"<p><img src='https://dl.dropboxusercontent.com/s/g0ien2euw8wzmrb/BEC%20Zone%20CMA.webp?dl=0'/></p><p>The Biogeoclimatic Ecosystem Classification (BEC) system adopted in BC as a method to classify and manage sites on an ecosystem-specific basis that combine the nature, soil, geology and climatic factor in the classification. In BEC, ecosystems are described in terms of potential plant community or what the species composition might look like at maturity.</p><p><em>Reference:</em></p><p>Ministry of Forests, Lands, Natural Resource Operations and Rural Development, BC, Canada,  2020, data from the British Columbia Data Catalogue (https://catalogue.data.gov.bc.ca/)</p>",
theme,Current patterns of biodiversity,yale_1/BEC_zones/BEC Zone ESSF.tif,BEC zone: Engelmann Spruce -- Subalpine Fir,"#ffffff, #4d22ff",continuous,,km2*,FALSE,TRUE,missing,"<p><img src='https://dl.dropboxusercontent.com/s/wkkukkm98pk2045/BEC%20Zone%20ESSF.webp?dl=0'/></p><p>The Biogeoclimatic Ecosystem Classification (BEC) system adopted in BC as a method to classify and manage sites on an ecosystem-specific basis that combine the nature, soil, geology and climatic factor in the classification. In BEC, ecosystems are described in terms of potential plant community or what the species composition might look like at maturity.</p><p><em>Reference:</em></p><p>Ministry of Forests, Lands, Natural Resource Operations and Rural Development, BC, Canada,  2020, data from the British Columbia Data Catalogue (https://catalogue.data.gov.bc.ca/)</p>",
theme,Current patterns of biodiversity,yale_1/BEC_zones/BEC Zone BAFA.tif,BEC zone: Boreal Altai Fescue Alpine,"#ffffff, #ebe1a5",continuous,,km2*,FALSE,TRUE,missing,"<p><img src='https://dl.dropboxusercontent.com/s/s92pjd5obq3rodi/BEC%20Zone%20BAFA.webp?dl=0'/></p><p>The Biogeoclimatic Ecosystem Classification (BEC) system adopted in BC as a method to classify and manage sites on an ecosystem-specific basis that combine the nature, soil, geology and climatic factor in the classification. In BEC, ecosystems are described in terms of potential plant community or what the species composition might look like at maturity.</p><p><em>Reference:</em></p><p>Ministry of Forests, Lands, Natural Resource Operations and Rural Development, BC, Canada,  2020, data from the British Columbia Data Catalogue (https://catalogue.data.gov.bc.ca/)</p>",
theme,Current patterns of biodiversity,yale_1/BEC_zones/BEC Zone ICH.tif,BEC zone: Interior Cedar -- Hemlock,"#ffffff, #77c503",continuous,,km2*,FALSE,TRUE,missing,"<p><img src='https://dl.dropboxusercontent.com/s/z7uort0ov25g00z/BEC%20Zone%20ICH.webp?dl=0'/></p><p>The Biogeoclimatic Ecosystem Classification (BEC) system adopted in BC as a method to classify and manage sites on an ecosystem-specific basis that combine the nature, soil, geology and climatic factor in the classification. In BEC, ecosystems are described in terms of potential plant community or what the species composition might look like at maturity.</p><p><em>Reference:</em></p><p>Ministry of Forests, Lands, Natural Resource Operations and Rural Development, BC, Canada,  2020, data from the British Columbia Data Catalogue (https://catalogue.data.gov.bc.ca/)</p>",
theme,Current patterns of biodiversity,yale_1/BEC_zones/BEC Zone BWBS.tif,BEC zone: Boreal White and Black Spruce,"#ffffff, #b9fff1",continuous,,km2*,FALSE,TRUE,missing,"<p><img src='https://dl.dropboxusercontent.com/s/0b45duht6il8uv7/BEC%20Zone%20BWBS.webp?dl=0'/></p><p>The Biogeoclimatic Ecosystem Classification (BEC) system adopted in BC as a method to classify and manage sites on an ecosystem-specific basis that combine the nature, soil, geology and climatic factor in the classification. In BEC, ecosystems are described in terms of potential plant community or what the species composition might look like at maturity.</p><p><em>Reference:</em></p><p>Ministry of Forests, Lands, Natural Resource Operations and Rural Development, BC, Canada,  2020, data from the British Columbia Data Catalogue (https://catalogue.data.gov.bc.ca/)</p>",
theme,Current patterns of biodiversity,yale_1/BEC_zones/BEC Zone IDF.tif,BEC zone: Interior Douglas-fir,"#ffffff, #ffd726",continuous,,km2*,FALSE,TRUE,missing,"<p><img src='https://dl.dropboxusercontent.com/s/b812ti8lz2d7qx8/BEC%20Zone%20IDF.webp?dl=0'/></p><p>The Biogeoclimatic Ecosystem Classification (BEC) system adopted in BC as a method to classify and manage sites on an ecosystem-specific basis that combine the nature, soil, geology and climatic factor in the classification. In BEC, ecosystems are described in terms of potential plant community or what the species composition might look like at maturity.</p><p><em>Reference:</em></p><p>Ministry of Forests, Lands, Natural Resource Operations and Rural Development, BC, Canada,  2020, data from the British Columbia Data Catalogue (https://catalogue.data.gov.bc.ca/)</p>",
theme,Current patterns of biodiversity,yale_1/BEC_zones/BEC Zone IMA.tif,BEC zone: Interior Mountain-heather Alpine,"#ffffff, #b3bfbe",continuous,,km2*,FALSE,TRUE,missing,"<p><img src='https://dl.dropboxusercontent.com/s/cudsdazmtkloins/BEC%20Zone%20IMA.webp?dl=0'/></p><p>The Biogeoclimatic Ecosystem Classification (BEC) system adopted in BC as a method to classify and manage sites on an ecosystem-specific basis that combine the nature, soil, geology and climatic factor in the classification. In BEC, ecosystems are described in terms of potential plant community or what the species composition might look like at maturity.</p><p><em>Reference:</em></p><p>Ministry of Forests, Lands, Natural Resource Operations and Rural Development, BC, Canada,  2020, data from the British Columbia Data Catalogue (https://catalogue.data.gov.bc.ca/)</p>",
